Month,DayOfWeek,MonthClaimed,DayOfWeekClaimed,Age,Fault,PolicyType,VehicleCategory,PastNumberOfClaims,AgeOfVehicle,NumberOfSuppliments,AddressChange_Claim,Year,BasePolicy,UnusualDeductible,PriceToAgeRatio,PriceToAgeRatio_Capped,ClaimProcessingTime,FraudFound_P
5.0,7.0,6.0,4.0,32.0,1.0,13.0,1.0,1.0,6.0,5.0,0.0,1996.0,3.0,0.0,0.2513144282809061,0.2513144282809061,364.0,0
5.0,7.0,5.0,5.0,31.0,0.0,12.0,2.0,3.0,5.0,5.0,0.0,1994.0,2.0,0.0,0.2876820724517809,0.2876820724517809,363.0,0
7.0,2.0,7.0,3.0,62.0,0.0,12.0,2.0,2.0,7.0,0.0,0.0,1994.0,2.0,0.0,0.4054651081081644,0.4054651081081644,366.0,0
1.0,4.0,1.0,5.0,50.0,0.0,12.0,2.0,0.0,7.0,3.0,0.0,1995.0,2.0,1.0,0.22314355131420976,0.22314355131420976,366.0,0
3.0,6.0,3.0,2.0,47.0,1.0,11.0,1.0,0.0,7.0,3.0,0.0,1994.0,1.0,0.0,0.3184537311185346,0.3184537311185346,368.0,0
10.0,5.0,10.0,1.0,22.0,1.0,11.0,1.0,2.0,4.0,5.0,0.0,1995.0,1.0,0.0,0.33647223662121295,0.33647223662121295,361.0,0
8.0,7.0,8.0,4.0,35.0,0.0,11.0,1.0,1.0,5.0,0.0,0.0,1994.0,1.0,0.0,0.2876820724517809,0.2876820724517809,362.0,1
7.0,1.0,7.0,2.0,48.0,1.0,13.0,1.0,0.0,7.0,1.0,0.0,1995.0,3.0,0.0,0.11778303565638346,0.11778303565638346,366.0,0
6.0,1.0,7.0,3.0,45.0,0.0,11.0,1.0,1.0,4.0,1.0,0.0,1995.0,1.0,0.0,0.33647223662121295,0.33647223662121295,383.0,0
5.0,1.0,5.0,5.0,37.0,1.0,11.0,1.0,0.0,4.0,0.0,0.0,1994.0,1.0,0.0,0.33647223662121295,0.33647223662121295,369.0,0
3.0,3.0,3.0,5.0,53.0,1.0,11.0,1.0,1.0,7.0,1.0,0.0,1994.0,1.0,0.0,0.3184537311185346,0.3184537311185346,367.0,0
4.0,4.0,4.0,3.0,40.0,0.0,12.0,2.0,2.0,6.0,0.0,0.0,1996.0,2.0,0.0,0.6190392084062234,0.6190392084062234,364.0,0
5.0,2.0,5.0,5.0,38.0,1.0,12.0,2.0,1.0,6.0,5.0,3.0,1995.0,2.0,1.0,0.2513144282809061,0.2513144282809061,368.0,0
6.0,5.0,6.0,1.0,61.0,1.0,12.0,2.0,3.0,7.0,1.0,0.0,1996.0,2.0,0.0,0.22314355131420976,0.22314355131420976,368.0,0
6.0,3.0,6.0,5.0,55.0,0.0,13.0,1.0,0.0,7.0,0.0,0.0,1994.0,3.0,0.0,0.5596157879354227,0.5596157879354227,367.0,0
8.0,4.0,8.0,2.0,54.0,0.0,11.0,1.0,2.0,6.0,3.0,4.0,1995.0,1.0,1.0,0.2513144282809061,0.2513144282809061,370.0,0
6.0,5.0,6.0,3.0,28.0,0.0,12.0,2.0,3.0,6.0,1.0,0.0,1994.0,2.0,0.0,0.6190392084062234,0.6190392084062234,370.0,0
5.0,2.0,5.0,3.0,53.0,0.0,13.0,1.0,2.0,7.0,3.0,0.0,1994.0,3.0,0.0,0.3184537311185346,0.3184537311185346,366.0,0
5.0,5.0,6.0,5.0,43.0,0.0,12.0,2.0,3.0,6.0,3.0,0.0,1995.0,2.0,0.0,0.2513144282809061,0.2513144282809061,395.0,0
7.0,2.0,7.0,3.0,36.0,0.0,11.0,1.0,1.0,6.0,0.0,3.0,1994.0,1.0,1.0,0.35667494393873234,0.35667494393873234,366.0,0
7.0,3.0,7.0,3.0,51.0,0.0,13.0,1.0,1.0,7.0,0.0,0.0,1996.0,3.0,0.0,0.11778303565638346,0.11778303565638346,365.0,0
5.0,4.0,5.0,2.0,31.0,0.0,13.0,1.0,0.0,5.0,0.0,4.0,1996.0,3.0,0.0,0.2876820724517809,0.2876820724517809,370.0,0
1.0,6.0,1.0,1.0,73.0,0.0,12.0,2.0,2.0,5.0,0.0,0.0,1996.0,2.0,0.0,0.4054651081081644,0.4054651081081644,360.0,0
11.0,4.0,11.0,5.0,55.0,0.0,11.0,1.0,2.0,7.0,0.0,0.0,1994.0,1.0,0.0,0.3184537311185346,0.3184537311185346,366.0,0
2.0,3.0,2.0,1.0,39.0,0.0,11.0,1.0,0.0,7.0,0.0,0.0,1995.0,1.0,0.0,0.22314355131420976,0.22314355131420976,363.0,0
4.0,3.0,4.0,3.0,44.0,0.0,12.0,2.0,2.0,7.0,5.0,0.0,1996.0,2.0,0.0,0.22314355131420976,0.22314355131420976,365.0,0
7.0,6.0,7.0,1.0,34.0,1.0,13.0,1.0,0.0,3.0,0.0,0.0,1995.0,3.0,0.0,0.4054651081081644,0.4054651081081644,360.0,0
9.0,7.0,9.0,3.0,40.0,0.0,12.0,2.0,1.0,5.0,1.0,0.0,1994.0,2.0,0.0,0.2876820724517809,0.2876820724517809,368.0,0
5.0,4.0,5.0,5.0,24.0,1.0,13.0,1.0,1.0,4.0,0.0,0.0,1994.0,3.0,0.0,0.33647223662121295,0.33647223662121295,373.0,0
1.0,5.0,2.0,3.0,55.0,0.0,21.0,2.0,0.0,7.0,0.0,0.0,1995.0,1.0,0.0,0.5596157879354227,0.5596157879354227,372.0,0
2.0,4.0,2.0,5.0,34.0,1.0,13.0,1.0,0.0,5.0,3.0,0.0,1995.0,3.0,0.0,0.4054651081081644,0.4054651081081644,366.0,0
3.0,3.0,3.0,4.0,31.0,0.0,11.0,1.0,0.0,5.0,1.0,0.0,1995.0,1.0,0.0,0.4054651081081644,0.4054651081081644,366.0,0
5.0,2.0,5.0,2.0,47.0,0.0,11.0,1.0,2.0,7.0,1.0,0.0,1994.0,1.0,0.0,0.3184537311185346,0.3184537311185346,365.0,0
12.0,2.0,12.0,3.0,33.0,0.0,12.0,2.0,2.0,5.0,0.0,0.0,1996.0,2.0,0.0,0.4054651081081644,0.4054651081081644,366.0,0
12.0,5.0,1.0,1.0,58.0,0.0,12.0,2.0,3.0,7.0,0.0,0.0,1996.0,2.0,0.0,0.3184537311185346,0.3184537311185346,3.0,0
6.0,5.0,7.0,5.0,30.0,1.0,11.0,1.0,0.0,5.0,3.0,0.0,1995.0,1.0,0.0,0.2876820724517809,0.2876820724517809,402.0,0
10.0,1.0,10.0,4.0,31.0,0.0,12.0,2.0,2.0,6.0,5.0,0.0,1995.0,2.0,0.0,0.2513144282809061,0.2513144282809061,375.0,0
7.0,5.0,7.0,2.0,48.0,0.0,13.0,1.0,1.0,7.0,5.0,0.0,1995.0,3.0,0.0,0.22314355131420976,0.22314355131420976,362.0,0
10.0,1.0,10.0,1.0,52.0,0.0,12.0,2.0,1.0,7.0,5.0,0.0,1996.0,2.0,0.0,0.22314355131420976,0.22314355131420976,365.0,0
4.0,4.0,4.0,3.0,27.0,0.0,12.0,2.0,3.0,5.0,5.0,0.0,1996.0,2.0,0.0,0.2876820724517809,0.2876820724517809,364.0,0
5.0,3.0,5.0,3.0,64.0,0.0,12.0,2.0,2.0,7.0,5.0,0.0,1995.0,2.0,0.0,0.4855078157817008,0.4855078157817008,372.0,0
2.0,6.0,3.0,2.0,22.0,0.0,12.0,2.0,1.0,4.0,0.0,0.0,1995.0,2.0,0.0,0.33647223662121295,0.33647223662121295,377.0,1
12.0,5.0,12.0,4.0,35.0,1.0,11.0,1.0,2.0,5.0,5.0,0.0,1994.0,1.0,0.0,0.4054651081081644,0.4054651081081644,371.0,0
4.0,4.0,5.0,3.0,57.0,0.0,13.0,1.0,0.0,7.0,1.0,0.0,1994.0,3.0,1.0,0.11778303565638346,0.11778303565638346,394.0,0
1.0,6.0,1.0,5.0,54.0,1.0,13.0,1.0,2.0,7.0,0.0,0.0,1994.0,3.0,0.0,0.22314355131420976,0.22314355131420976,371.0,0
5.0,6.0,6.0,5.0,32.0,0.0,11.0,1.0,1.0,5.0,5.0,0.0,1996.0,1.0,0.0,0.2876820724517809,0.2876820724517809,373.0,0
4.0,6.0,4.0,1.0,31.0,1.0,11.0,1.0,1.0,5.0,5.0,0.0,1995.0,1.0,0.0,0.2876820724517809,0.2876820724517809,374.0,0
8.0,7.0,8.0,4.0,47.0,1.0,13.0,1.0,0.0,7.0,0.0,0.0,1994.0,3.0,0.0,0.22314355131420976,0.22314355131420976,362.0,0
5.0,7.0,12.0,1.0,29.0,1.0,11.0,1.0,3.0,6.0,5.0,0.0,1996.0,1.0,0.0,0.2513144282809061,0.2513144282809061,548.0,0
2.0,1.0,2.0,2.0,71.0,1.0,13.0,1.0,0.0,7.0,1.0,0.0,1994.0,3.0,0.0,0.22314355131420976,0.22314355131420976,373.0,0
4.0,1.0,4.0,2.0,23.0,0.0,12.0,2.0,3.0,4.0,0.0,0.0,1994.0,2.0,0.0,0.33647223662121295,0.33647223662121295,366.0,0
3.0,5.0,3.0,1.0,35.0,1.0,13.0,1.0,1.0,4.0,5.0,0.0,1995.0,3.0,0.0,0.33647223662121295,0.33647223662121295,361.0,0
9.0,4.0,9.0,2.0,31.0,1.0,11.0,1.0,1.0,5.0,0.0,0.0,1996.0,1.0,0.0,0.2876820724517809,0.2876820724517809,370.0,0
7.0,1.0,7.0,1.0,54.0,0.0,12.0,2.0,2.0,6.0,5.0,0.0,1996.0,2.0,0.0,0.2513144282809061,0.2513144282809061,365.0,0
10.0,2.0,10.0,2.0,27.0,1.0,13.0,1.0,1.0,5.0,1.0,0.0,1995.0,3.0,0.0,0.2876820724517809,0.2876820724517809,365.0,0
9.0,7.0,9.0,4.0,28.0,1.0,11.0,1.0,1.0,6.0,0.0,0.0,1995.0,1.0,0.0,0.2513144282809061,0.2513144282809061,369.0,0
4.0,2.0,4.0,3.0,55.0,0.0,11.0,1.0,2.0,7.0,0.0,0.0,1994.0,1.0,0.0,0.3184537311185346,0.3184537311185346,373.0,1
4.0,3.0,4.0,2.0,39.0,0.0,13.0,1.0,2.0,6.0,1.0,0.0,1996.0,3.0,0.0,0.2513144282809061,0.2513144282809061,371.0,0
2.0,5.0,2.0,2.0,30.0,0.0,12.0,2.0,1.0,5.0,5.0,0.0,1994.0,2.0,0.0,0.4054651081081644,0.4054651081081644,369.0,0
7.0,3.0,7.0,1.0,30.0,1.0,11.0,1.0,0.0,5.0,0.0,0.0,1995.0,1.0,0.0,0.4054651081081644,0.4054651081081644,370.0,0
1.0,3.0,1.0,4.0,50.0,0.0,12.0,2.0,3.0,6.0,0.0,0.0,1996.0,2.0,0.0,0.2513144282809061,0.2513144282809061,366.0,0
3.0,3.0,3.0,3.0,51.0,0.0,12.0,2.0,2.0,6.0,0.0,0.0,1995.0,2.0,0.0,0.2513144282809061,0.2513144282809061,365.0,0
12.0,5.0,12.0,3.0,19.0,0.0,11.0,1.0,1.0,2.0,0.0,0.0,1995.0,1.0,0.0,0.5108256237659907,0.5108256237659907,370.0,0
9.0,4.0,9.0,5.0,50.0,0.0,12.0,2.0,1.0,7.0,1.0,0.0,1994.0,2.0,0.0,0.3184537311185346,0.3184537311185346,373.0,0
6.0,1.0,6.0,1.0,19.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,1995.0,2.0,0.0,1.9459101490553132,0.6931471805599453,365.0,0
12.0,4.0,12.0,4.0,41.0,0.0,11.0,1.0,0.0,6.0,0.0,0.0,1994.0,1.0,0.0,0.6190392084062234,0.6190392084062234,379.0,0
3.0,5.0,3.0,1.0,56.0,0.0,12.0,2.0,0.0,7.0,0.0,0.0,1996.0,2.0,0.0,0.3184537311185346,0.3184537311185346,368.0,0
7.0,5.0,7.0,5.0,28.0,0.0,12.0,2.0,2.0,6.0,5.0,0.0,1994.0,2.0,0.0,0.2513144282809061,0.2513144282809061,365.0,0
10.0,4.0,11.0,1.0,32.0,0.0,12.0,2.0,2.0,6.0,0.0,0.0,1996.0,2.0,0.0,0.2513144282809061,0.2513144282809061,378.0,0
3.0,2.0,3.0,3.0,30.0,0.0,11.0,1.0,0.0,5.0,0.0,0.0,1996.0,1.0,0.0,0.2876820724517809,0.2876820724517809,366.0,0
1.0,1.0,1.0,2.0,71.0,0.0,13.0,1.0,2.0,7.0,5.0,3.0,1994.0,3.0,1.0,0.3184537311185346,0.3184537311185346,366.0,0
10.0,6.0,10.0,2.0,44.0,0.0,11.0,1.0,2.0,5.0,5.0,0.0,1995.0,1.0,0.0,0.2876820724517809,0.2876820724517809,368.0,0
10.0,5.0,10.0,5.0,65.0,0.0,33.0,3.0,1.0,7.0,5.0,4.0,1996.0,3.0,0.0,0.4054651081081644,0.4054651081081644,365.0,0
9.0,2.0,12.0,5.0,41.0,0.0,11.0,1.0,2.0,6.0,5.0,0.0,1996.0,1.0,0.0,0.2513144282809061,0.2513144282809061,458.0,0
3.0,1.0,4.0,5.0,43.0,0.0,12.0,2.0,1.0,6.0,0.0,0.0,1994.0,2.0,0.0,0.35667494393873234,0.35667494393873234,392.0,0
9.0,6.0,10.0,2.0,22.0,1.0,13.0,1.0,1.0,0.0,0.0,0.0,1996.0,3.0,0.0,1.9459101490553132,0.6931471805599453,405.0,0
4.0,5.0,5.0,2.0,73.0,1.0,13.0,1.0,0.0,7.0,3.0,0.0,1994.0,3.0,0.0,0.22314355131420976,0.22314355131420976,371.0,0
2.0,4.0,3.0,5.0,38.0,1.0,11.0,1.0,0.0,6.0,3.0,0.0,1994.0,1.0,0.0,0.2513144282809061,0.2513144282809061,375.0,0
11.0,6.0,12.0,5.0,32.0,0.0,13.0,1.0,0.0,4.0,3.0,0.0,1996.0,3.0,0.0,0.18232155679395465,0.18232155679395465,380.0,0
11.0,5.0,11.0,5.0,30.0,1.0,11.0,1.0,2.0,5.0,5.0,0.0,1996.0,1.0,0.0,0.6931471805599453,0.6931471805599453,372.0,0
3.0,7.0,3.0,1.0,36.0,0.0,11.0,1.0,1.0,7.0,5.0,0.0,1994.0,1.0,0.0,0.3184537311185346,0.3184537311185346,359.0,0
3.0,7.0,4.0,3.0,32.0,0.0,11.0,1.0,2.0,5.0,1.0,0.0,1996.0,1.0,0.0,0.2876820724517809,0.2876820724517809,384.0,0
5.0,5.0,5.0,2.0,34.0,0.0,11.0,1.0,3.0,5.0,0.0,0.0,1994.0,1.0,0.0,0.4054651081081644,0.4054651081081644,369.0,0
5.0,6.0,5.0,2.0,24.0,1.0,12.0,2.0,2.0,4.0,3.0,0.0,1995.0,2.0,0.0,0.33647223662121295,0.33647223662121295,382.0,0
5.0,1.0,5.0,3.0,36.0,0.0,13.0,1.0,2.0,6.0,3.0,0.0,1996.0,3.0,0.0,0.6190392084062234,0.6190392084062234,367.0,1
2.0,6.0,2.0,1.0,19.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,1995.0,2.0,0.0,1.9459101490553132,0.6931471805599453,367.0,0
11.0,3.0,12.0,1.0,29.0,1.0,13.0,1.0,0.0,6.0,0.0,0.0,1994.0,3.0,0.0,0.2513144282809061,0.2513144282809061,372.0,0
7.0,3.0,8.0,4.0,54.0,1.0,11.0,1.0,2.0,7.0,0.0,0.0,1996.0,1.0,0.0,0.22314355131420976,0.22314355131420976,382.0,0
3.0,2.0,3.0,3.0,72.0,1.0,12.0,2.0,1.0,7.0,5.0,0.0,1995.0,2.0,0.0,0.22314355131420976,0.22314355131420976,366.0,0
1.0,1.0,1.0,1.0,31.0,0.0,11.0,1.0,1.0,5.0,0.0,0.0,1994.0,1.0,0.0,0.4054651081081644,0.4054651081081644,365.0,0
5.0,1.0,5.0,5.0,39.0,0.0,11.0,1.0,2.0,5.0,5.0,0.0,1994.0,1.0,0.0,0.2876820724517809,0.2876820724517809,369.0,0
5.0,2.0,5.0,3.0,29.0,1.0,12.0,2.0,2.0,5.0,3.0,0.0,1994.0,2.0,0.0,0.2876820724517809,0.2876820724517809,366.0,0
7.0,5.0,9.0,1.0,35.0,0.0,13.0,1.0,2.0,6.0,5.0,4.0,1996.0,3.0,0.0,0.35667494393873234,0.35667494393873234,400.0,0
7.0,6.0,7.0,2.0,45.0,0.0,11.0,1.0,2.0,6.0,0.0,0.0,1995.0,1.0,0.0,0.35667494393873234,0.35667494393873234,361.0,0
5.0,6.0,5.0,1.0,41.0,0.0,11.0,1.0,0.0,6.0,1.0,0.0,1994.0,1.0,0.0,0.2513144282809061,0.2513144282809061,360.0,0
3.0,3.0,3.0,3.0,24.0,0.0,11.0,1.0,1.0,4.0,3.0,0.0,1996.0,1.0,0.0,0.7884573603642702,0.6931471805599453,365.0,0
2.0,5.0,2.0,1.0,27.0,0.0,12.0,2.0,2.0,6.0,3.0,2.0,1994.0,2.0,0.0,0.35667494393873234,0.35667494393873234,368.0,0
12.0,2.0,12.0,2.0,31.0,0.0,12.0,2.0,1.0,6.0,5.0,0.0,1996.0,2.0,0.0,0.4519851237430572,0.4519851237430572,365.0,0
4.0,7.0,4.0,2.0,35.0,0.0,12.0,2.0,0.0,5.0,1.0,0.0,1995.0,2.0,0.0,0.2876820724517809,0.2876820724517809,360.0,0
6.0,3.0,6.0,4.0,48.0,0.0,12.0,2.0,2.0,6.0,5.0,0.0,1996.0,2.0,0.0,0.2513144282809061,0.2513144282809061,366.0,0
1.0,1.0,1.0,3.0,26.0,0.0,11.0,1.0,1.0,5.0,5.0,0.0,1995.0,1.0,0.0,0.4054651081081644,0.4054651081081644,367.0,0
1.0,2.0,1.0,3.0,19.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,1995.0,2.0,0.0,1.9459101490553132,0.6931471805599453,366.0,0
9.0,1.0,9.0,1.0,60.0,1.0,13.0,1.0,0.0,7.0,0.0,0.0,1994.0,3.0,0.0,0.22314355131420976,0.22314355131420976,365.0,0
3.0,7.0,3.0,1.0,34.0,0.0,12.0,2.0,3.0,5.0,5.0,0.0,1995.0,2.0,0.0,0.4054651081081644,0.4054651081081644,359.0,0
9.0,1.0,10.0,1.0,35.0,1.0,12.0,2.0,1.0,5.0,0.0,0.0,1995.0,2.0,0.0,0.2876820724517809,0.2876820724517809,374.0,0
2.0,7.0,2.0,1.0,46.0,1.0,12.0,2.0,2.0,7.0,3.0,0.0,1994.0,2.0,0.0,0.3184537311185346,0.3184537311185346,366.0,0
4.0,4.0,4.0,4.0,74.0,0.0,12.0,2.0,0.0,7.0,5.0,0.0,1996.0,2.0,1.0,0.22314355131420976,0.22314355131420976,372.0,0
12.0,1.0,12.0,2.0,48.0,0.0,11.0,1.0,0.0,7.0,1.0,0.0,1995.0,1.0,0.0,0.3184537311185346,0.3184537311185346,366.0,0
9.0,3.0,9.0,3.0,24.0,0.0,12.0,2.0,2.0,3.0,5.0,0.0,1996.0,2.0,0.0,0.4054651081081644,0.4054651081081644,372.0,0
9.0,4.0,9.0,5.0,31.0,0.0,13.0,1.0,0.0,6.0,0.0,0.0,1994.0,3.0,0.0,0.35667494393873234,0.35667494393873234,366.0,1
6.0,7.0,6.0,1.0,39.0,0.0,13.0,1.0,1.0,6.0,3.0,4.0,1995.0,3.0,0.0,0.2513144282809061,0.2513144282809061,359.0,0
10.0,7.0,10.0,1.0,47.0,0.0,12.0,2.0,2.0,6.0,0.0,0.0,1994.0,2.0,0.0,0.2513144282809061,0.2513144282809061,359.0,0
9.0,6.0,9.0,4.0,35.0,0.0,11.0,1.0,0.0,6.0,1.0,4.0,1994.0,1.0,0.0,0.2513144282809061,0.2513144282809061,370.0,0
12.0,4.0,12.0,5.0,23.0,0.0,13.0,1.0,0.0,3.0,3.0,0.0,1995.0,3.0,0.0,0.4054651081081644,0.4054651081081644,366.0,0
6.0,1.0,6.0,2.0,19.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,1995.0,2.0,0.0,1.9459101490553132,0.6931471805599453,373.0,0
10.0,2.0,10.0,1.0,54.0,1.0,11.0,1.0,1.0,4.0,1.0,0.0,1995.0,1.0,0.0,0.33647223662121295,0.33647223662121295,371.0,0
8.0,1.0,9.0,3.0,28.0,0.0,13.0,1.0,0.0,5.0,0.0,0.0,1995.0,3.0,0.0,0.2876820724517809,0.2876820724517809,369.0,0
3.0,1.0,5.0,2.0,26.0,1.0,13.0,1.0,1.0,6.0,3.0,0.0,1995.0,3.0,0.0,0.2513144282809061,0.2513144282809061,405.0,0
8.0,2.0,8.0,2.0,62.0,0.0,12.0,2.0,0.0,7.0,5.0,0.0,1996.0,2.0,0.0,0.3184537311185346,0.3184537311185346,365.0,0
12.0,1.0,12.0,2.0,54.0,0.0,13.0,1.0,2.0,6.0,5.0,0.0,1995.0,3.0,0.0,0.35667494393873234,0.35667494393873234,366.0,0
4.0,2.0,4.0,2.0,44.0,0.0,11.0,1.0,2.0,6.0,1.0,0.0,1996.0,1.0,0.0,0.35667494393873234,0.35667494393873234,365.0,0
1.0,7.0,1.0,1.0,39.0,0.0,12.0,2.0,1.0,6.0,1.0,0.0,1996.0,2.0,0.0,0.2513144282809061,0.2513144282809061,359.0,0
3.0,1.0,3.0,1.0,36.0,0.0,12.0,2.0,2.0,6.0,0.0,0.0,1996.0,2.0,0.0,0.2513144282809061,0.2513144282809061,365.0,0
10.0,3.0,10.0,3.0,44.0,0.0,12.0,2.0,3.0,6.0,5.0,0.0,1996.0,2.0,0.0,0.2513144282809061,0.2513144282809061,365.0,0
10.0,6.0,10.0,2.0,46.0,0.0,11.0,1.0,3.0,7.0,3.0,0.0,1995.0,1.0,0.0,0.3184537311185346,0.3184537311185346,361.0,1
5.0,5.0,5.0,4.0,55.0,1.0,13.0,1.0,3.0,6.0,0.0,0.0,1995.0,3.0,0.0,0.2513144282809061,0.2513144282809061,371.0,0
11.0,2.0,11.0,2.0,48.0,1.0,13.0,1.0,0.0,5.0,3.0,0.0,1995.0,3.0,0.0,0.4054651081081644,0.4054651081081644,365.0,0
10.0,1.0,10.0,5.0,31.0,0.0,12.0,2.0,2.0,5.0,1.0,0.0,1995.0,2.0,0.0,0.2876820724517809,0.2876820724517809,376.0,0
8.0,4.0,9.0,1.0,23.0,1.0,13.0,1.0,0.0,2.0,1.0,0.0,1996.0,3.0,0.0,0.5108256237659907,0.5108256237659907,378.0,0
1.0,7.0,1.0,3.0,48.0,0.0,13.0,1.0,0.0,7.0,5.0,0.0,1994.0,3.0,0.0,0.22314355131420976,0.22314355131420976,361.0,0
12.0,6.0,1.0,3.0,34.0,1.0,11.0,1.0,0.0,5.0,0.0,0.0,1996.0,1.0,0.0,0.4054651081081644,0.4054651081081644,18.0,0
11.0,4.0,12.0,2.0,47.0,0.0,13.0,1.0,2.0,7.0,0.0,0.0,1996.0,3.0,0.0,0.3184537311185346,0.3184537311185346,400.0,0
7.0,7.0,7.0,1.0,26.0,0.0,12.0,2.0,3.0,6.0,3.0,0.0,1996.0,2.0,0.0,0.2513144282809061,0.2513144282809061,359.0,0
7.0,4.0,9.0,3.0,38.0,1.0,12.0,2.0,1.0,6.0,0.0,0.0,1995.0,2.0,0.0,0.35667494393873234,0.35667494393873234,417.0,0
8.0,4.0,8.0,5.0,42.0,0.0,13.0,1.0,2.0,6.0,5.0,0.0,1996.0,3.0,0.0,0.2513144282809061,0.2513144282809061,373.0,0
3.0,4.0,3.0,4.0,31.0,0.0,12.0,2.0,2.0,5.0,0.0,0.0,1994.0,2.0,0.0,0.2876820724517809,0.2876820724517809,365.0,0
6.0,6.0,6.0,2.0,41.0,1.0,11.0,1.0,2.0,6.0,0.0,0.0,1994.0,1.0,0.0,0.2513144282809061,0.2513144282809061,368.0,0
12.0,1.0,12.0,3.0,27.0,0.0,11.0,1.0,3.0,5.0,0.0,0.0,1994.0,1.0,0.0,0.4054651081081644,0.4054651081081644,374.0,0
2.0,5.0,2.0,1.0,28.0,0.0,11.0,1.0,2.0,5.0,3.0,0.0,1996.0,1.0,0.0,0.4054651081081644,0.4054651081081644,368.0,0
6.0,5.0,6.0,1.0,52.0,0.0,11.0,1.0,1.0,7.0,0.0,0.0,1994.0,1.0,0.0,0.22314355131420976,0.22314355131420976,361.0,0
9.0,3.0,10.0,1.0,34.0,0.0,12.0,2.0,2.0,5.0,5.0,0.0,1995.0,2.0,0.0,0.2876820724517809,0.2876820724517809,365.0,0
6.0,6.0,6.0,3.0,38.0,0.0,33.0,3.0,0.0,6.0,1.0,0.0,1995.0,3.0,0.0,0.6190392084062234,0.6190392084062234,369.0,0
10.0,6.0,11.0,2.0,45.0,1.0,12.0,2.0,1.0,7.0,5.0,0.0,1996.0,2.0,0.0,0.22314355131420976,0.22314355131420976,384.0,0
1.0,6.0,1.0,1.0,56.0,0.0,11.0,1.0,0.0,7.0,1.0,0.0,1994.0,1.0,0.0,0.22314355131420976,0.22314355131420976,360.0,0
8.0,6.0,10.0,2.0,27.0,0.0,11.0,1.0,2.0,6.0,0.0,0.0,1996.0,1.0,0.0,0.2513144282809061,0.2513144282809061,421.0,0
12.0,6.0,2.0,2.0,56.0,1.0,12.0,2.0,3.0,7.0,0.0,0.0,1995.0,2.0,0.0,0.22314355131420976,0.22314355131420976,68.0,0
7.0,4.0,7.0,1.0,53.0,0.0,11.0,1.0,2.0,7.0,5.0,0.0,1995.0,1.0,0.0,0.22314355131420976,0.22314355131420976,362.0,0
11.0,3.0,12.0,4.0,34.0,0.0,11.0,1.0,1.0,5.0,0.0,0.0,1994.0,1.0,0.0,0.4054651081081644,0.4054651081081644,368.0,0
5.0,5.0,5.0,2.0,27.0,1.0,13.0,1.0,2.0,6.0,5.0,0.0,1994.0,3.0,0.0,0.2513144282809061,0.2513144282809061,376.0,0
8.0,4.0,8.0,5.0,30.0,0.0,12.0,2.0,2.0,6.0,0.0,0.0,1994.0,2.0,0.0,0.35667494393873234,0.35667494393873234,366.0,0
11.0,3.0,11.0,4.0,55.0,0.0,13.0,1.0,0.0,7.0,0.0,0.0,1996.0,3.0,0.0,0.22314355131420976,0.22314355131420976,366.0,0
5.0,2.0,5.0,2.0,24.0,0.0,12.0,2.0,3.0,3.0,1.0,0.0,1994.0,2.0,0.0,0.4054651081081644,0.4054651081081644,365.0,0
9.0,1.0,9.0,3.0,55.0,0.0,12.0,2.0,2.0,6.0,1.0,0.0,1994.0,2.0,0.0,0.35667494393873234,0.35667494393873234,395.0,0
11.0,5.0,11.0,1.0,71.0,1.0,13.0,1.0,2.0,7.0,3.0,0.0,1994.0,3.0,0.0,0.22314355131420976,0.22314355131420976,361.0,0
6.0,3.0,6.0,4.0,24.0,0.0,11.0,1.0,0.0,4.0,0.0,0.0,1996.0,1.0,0.0,0.33647223662121295,0.33647223662121295,366.0,0
10.0,1.0,11.0,4.0,44.0,1.0,12.0,2.0,1.0,7.0,3.0,0.0,1995.0,2.0,0.0,0.22314355131420976,0.22314355131420976,377.0,0
2.0,1.0,2.0,1.0,28.0,0.0,12.0,2.0,3.0,6.0,1.0,0.0,1995.0,2.0,0.0,0.2513144282809061,0.2513144282809061,365.0,0
3.0,6.0,3.0,1.0,29.0,0.0,11.0,1.0,0.0,6.0,1.0,0.0,1995.0,1.0,0.0,0.35667494393873234,0.35667494393873234,360.0,0
3.0,1.0,4.0,2.0,28.0,0.0,13.0,1.0,1.0,6.0,1.0,0.0,1994.0,3.0,0.0,0.13353139262452263,0.13353139262452263,368.0,0
9.0,7.0,9.0,1.0,73.0,0.0,11.0,1.0,1.0,7.0,0.0,0.0,1994.0,1.0,0.0,0.22314355131420976,0.22314355131420976,359.0,0
5.0,2.0,5.0,5.0,78.0,0.0,13.0,1.0,0.0,7.0,0.0,0.0,1995.0,3.0,1.0,0.22314355131420976,0.22314355131420976,368.0,0
6.0,6.0,6.0,4.0,53.0,0.0,11.0,1.0,0.0,7.0,0.0,0.0,1996.0,1.0,0.0,0.4054651081081644,0.4054651081081644,370.0,0
